title,author,url,words,licence,genre
Básnici XIX. stoletia,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Básnici_XIX._stoletia,309,PD-old,Próza
Básnikova otčina,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Básnikova_otčina,514,PD-old,Próza
Dante,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Dante,235,PD-old,Próza
Dieťa a dúha,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Dieťa_a_dúha,694,PD-old,Próza
Dobrý starý krčmár,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Dobrý_starý_krčmár,313,PD-old,Próza
Dolina a vrch,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Dolina_a_vrch,214,PD-old,Próza
Dvaja bratia,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Dvaja_bratia,286,PD-old,Próza
Dvaja panoši Sondiho,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Dvaja_panoši_Sondiho,561,PD-old,Próza
Horská chatrč,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Horská_chatrč,252,PD-old,Próza
Hviezdnaté nebo,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Hviezdnaté_nebo,293,PD-old,Próza
Hájnikova žena,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Hájnikova_žena,36469,PD-old,Próza
"Kde deva krem teba, čo vládala by…",Pavol Országh Hviezdoslav,"https://sk.wikisource.org/wiki/Kde_deva_krem_teba,_čo_vládala_by…",210,PD-old,Próza
Klára Zachová,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Klára_Zachová,394,PD-old,Próza
Kraj dediny krčma vetchá…,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Kraj_dediny_krčma_vetchá…,174,PD-old,Próza
Krvavé sonety,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Krvavé_sonety,2769,PD-old,Poézia
Krásneho vzchodu…,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Krásneho_vzchodu…,180,PD-old,Próza
Ladislav V,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Ladislav_V,320,PD-old,Próza
Lapený bocian,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Lapený_bocian,226,PD-old,Próza
Letorosty,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Letorosty,1736,PD-old,Próza
Matiašova matka,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Matiašova_matka,262,PD-old,Próza
Moje piesne,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Moje_piesne,243,PD-old,Próza
Myšlienka trápi jedna ma…,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Myšlienka_trápi_jedna_ma…,231,PD-old,Próza
Múza a mladucha,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Múza_a_mladucha,496,PD-old,Próza
Na dedine,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Na_dedine,294,PD-old,Próza
Na konci septembra,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Na_konci_septembra,188,PD-old,Próza
Na smrť rodičov,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Na_smrť_rodičov,280,PD-old,Próza
Odkladám lýru,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Odkladám_lýru,299,PD-old,Próza
"Oj, roky, budúce vy roky",Pavol Országh Hviezdoslav,"https://sk.wikisource.org/wiki/Oj,_roky,_budúce_vy_roky",329,PD-old,Próza
Osiralý chlapec,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Osiralý_chlapec,202,PD-old,Próza
Ostatná almužna,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Ostatná_almužna,402,PD-old,Próza
Palác a chalupa,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Palác_a_chalupa,235,PD-old,Próza
Pohona pred máry,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Pohona_pred_máry,536,PD-old,Próza
Pustatina v zime,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Pustatina_v_zime,341,PD-old,Próza
Rodinný kruh,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Rodinný_kruh,731,PD-old,Próza
Roh na svite,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Roh_na_svite,205,PD-old,Próza
Romanca včely,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Romanca_včely,239,PD-old,Próza
Rozgoňová,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Rozgoňová,489,PD-old,Próza
Synovi,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Synovi,318,PD-old,Próza
Tisa,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Tisa,368,PD-old,Próza
Totka Agnesa,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Totka_Agnesa,584,PD-old,Próza
Tragédia človeka,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Tragédia_človeka,1640,PD-old,Dráma
Tri vtáky,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Tri_vtáky,362,PD-old,Próza
"Trpký život, sladká ľúbosť",Pavol Országh Hviezdoslav,"https://sk.wikisource.org/wiki/Trpký_život,_sladká_ľúbosť",192,PD-old,Próza
Tu dnu som v lete,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Tu_dnu_som_v_lete,334,PD-old,Próza
Usmej sa mi,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Usmej_sa_mi,235,PD-old,Próza
Učencova mačka,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Učencova_mačka,335,PD-old,Próza
V domovine,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/V_domovine,213,PD-old,Próza
V jeseni,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/V_jeseni,420,PD-old,Próza
Veštba,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Veštba,246,PD-old,Próza
Z diaľky,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Z_diaľky,209,PD-old,Próza
Zimné večery,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Zimné_večery,581,PD-old,Próza
Zármutok spevca,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Zármutok_spevca,610,PD-old,Próza
Úbohý poddaný,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Úbohý_poddaný,283,PD-old,Próza
Úľava,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Úľava,180,PD-old,Próza
Čím pomenovať ťa…,Pavol Országh Hviezdoslav,https://sk.wikisource.org/wiki/Čím_pomenovať_ťa…,244,PD-old,Próza
